Exercise_Name,Exercise_Video,muscle_gp,equipment_details,Equipment,Description
Single-Leg Press,https://www.lyfta.app/video/GymvisualMP4/14251201.mp4,"Quadriceps, glutes",Leg press machine,Machine,A lower body exercise targeting the quadriceps and glutes using a leg press machine. Single-leg press is designed to improve strength and balance.
Landmine twist,https://p001.nyc3.digitaloceanspaces.com/movements/landmine_full_contact_twist.mp4,"Obliques, core","Landmine apparatus, weight plates",Other,A rotational core exercise performed by holding one end of a barbell anchored in a landmine attachment while rotating the torso from side to side. It targets the obliques and improves core stability.
Weighted pull-up,https://www.lyfta.app/video/GymvisualMP4/08411201.mp4,"Lats, upper back","Pull-up bar, weight belt",Other,"An upper body exercise performed by pulling oneself up on a pull-up bar while wearing a weight belt or holding a dumbbell between the legs. It primarily targets the back muscles (latissimus dorsi) and biceps, enhancing strength and muscle mass."
T-Bar Row with Handle,https://app.fitnessai.com/exercises/05741201-Lever-Bent-over-Row-plate-loaded-Back.mp4,"Upper back, lats",T-bar row machine,Other,"A compound back exercise involving pulling a loaded barbell attached to a T-bar row handle towards the abdomen. It targets the middle back (rhomboids and traps), as well as the biceps and forearms."
Dumbbell front raise to lateral raise,https://www.lyfta.app/video/GymvisualMP4/03351201.mp4,Shoulders (deltoids),Dumbbells,Dumbbell,"A shoulder exercise performed by lifting dumbbells from thigh level to shoulder level in front of the body, then raising them laterally to the sides. It targets the front and side deltoids, enhancing shoulder strength and definition."
Clean from Blocks,https://www.lyfta.app/video/GymvisualMP4/15281201.mp4,"Hamstrings, glutes, quads, traps","Olympic barbell, weight plates, blocks",Barbell,"A weightlifting exercise where the barbell is lifted from a set of blocks or elevated platforms to the shoulders in one explosive motion. It primarily targets the muscles of the posterior chain (hamstrings, glutes, and lower back) and improves power and explosiveness."
Incline Hammer Curls,https://www.lyfta.app/video/GymvisualMP4/03131201.mp4,"Biceps, brachialis","Dumbbells, incline bench",Dumbbell,"An arm exercise performed on an incline bench with palms facing inward (hammer grip), curling dumbbells alternately towards the shoulders. It targets the biceps brachii and brachialis muscles, promoting upper arm strength and size."
Barbell glute bridge,https://www.lyfta.app/video/GymvisualMP4/29641201.mp4,"Glutes, hamstrings","Barbell, weight plates",Barbell,"A lower body exercise where the upper back is supported on a bench or the floor while lifting the hips upward using a barbell placed across the hips. It primarily targets the glutes and hamstrings, enhancing hip thrust strength and stability."
Clean and press,https://www.lyfta.app/video/GymvisualMP4/00281201.mp4,"Shoulders, legs, lower back","Olympic barbell, weight plates",Barbell,"A full-body compound exercise involving lifting a barbell from the floor to the shoulders (clean) and then pressing it overhead. It targets multiple muscle groups, including the legs, back, shoulders, and arms, improving strength, power, and coordination."
Triceps dip,https://www.lyfta.app/video/GymvisualMP4/08121201.mp4,"Triceps, chest",Dip bars or bench,Body Only,"An upper body exercise performed by lowering and raising the body using parallel bars or a bench, targeting the triceps muscles. It enhances arm strength and definition."
Barbell Full Squat,https://www.lyfta.app/video/GymvisualMP4/14611201.mp4,"Quadriceps, glutes","Barbell, squat rack",Barbell,"A lower body exercise where a barbell is held across the back of the shoulders while squatting down until the thighs are parallel to the ground. It primarily targets the quadriceps, hamstrings, and glutes, improving lower body strength and muscle mass."
Barbell Deadlift,https://www.lyfta.app/video/GymvisualMP4/01161201.mp4,"Lower back, glutes, hamstrings","Barbell, weight plates",Barbell,"A compound exercise where a barbell is lifted from the floor to a standing position, involving hip and knee extension. It targets the posterior chain muscles, including the glutes, hamstrings, and lower back, promoting overall strength and power."
Single-arm palm-in dumbbell shoulder press,https://www.lyfta.app/video/GymvisualMP4/03601201.mp4,"Shoulders, triceps",Dumbbell,Dumbbell,"An upper body exercise performed by pressing a dumbbell overhead with a palm-in grip while standing or seated. It targets the shoulder muscles, primarily the deltoids, improving shoulder strength and stability."
Romanian Deadlift With Dumbbells,https://www.lyfta.app/video/GymvisualMP4/14591201.mp4,"Hamstrings, glutes",Dumbbells,Dumbbell,"A lower body exercise involving bending at the hips while holding dumbbells and lowering them towards the ground until a stretch is felt in the hamstrings, then returning to the starting position. It primarily targets the hamstrings and glutes, enhancing hip hinge strength and flexibility."
Clean Deadlift,https://www.lyfta.app/video/GymvisualMP4/15151201.mp4,"Hamstrings, glutes, lower back","Olympic barbell, weight plates",Barbell,"A weightlifting exercise similar to the deadlift but with a narrower grip and a more upright torso position, focusing on the first pull phase of the clean. It targets the posterior chain muscles and improves explosiveness and power."
Elbow plank,https://www.lyfta.app/video/GymvisualMP4/29781201.mp4,"Core, shoulders",No equipment (bodyweight),Body Only,"A core exercise performed by supporting the body on the elbows and toes while keeping the body in a straight line from head to heels. It targets the core muscles, including the abdominals and lower back, improving core stability and strength."
Bottoms Up,https://www.lyfta.app/video/GymvisualMP4/24361201.mp4,"Core, shoulders",Kettlebell,Body Only,"A kettlebell exercise where the kettlebell is held upside down by the handle, with the bottom facing upward, and then lifted overhead while maintaining balance. It engages the shoulder stabilizers and improves grip strength and shoulder stability."
Barbell back squat to bench,https://www.lyfta.app/video/GymvisualMP4/01021201.mp4,"Quadriceps, glutes","Barbell, squat rack, bench",Barbell,"A lower body exercise where a barbell is held across the back of the shoulders while squatting down until the buttocks touch a bench placed behind. It targets the quadriceps, hamstrings, and glutes, improving lower body strength and muscle mass."
Single-arm kettlebell push-press,https://www.lyfta.app/video/GymvisualMP4/05371201.mp4,"Shoulders, triceps",Kettlebell,Kettlebells,"An explosive full-body exercise involving a kettlebell held in one hand and pressed overhead using a leg drive and momentum from the hips. It targets the shoulders, triceps, and legs, improving strength and power."
Push-press,https://www.lyfta.app/video/GymvisualMP4/12001201.mp4,"Shoulders, triceps, legs","Barbell, weight plates",Barbell,"A compound exercise where a barbell is lifted from the front of the shoulders to an overhead position with the assistance of leg drive and momentum. It targets the shoulders, triceps, and upper body muscles, improving overall strength and power."
Suspended ab fall-out,https://www.lyfta.app/video/GymvisualMP4/08051201.mp4,"Core, shoulders",Suspension trainer,Other,"A core exercise performed using suspension straps, starting in a plank position and extending the arms forward while maintaining a stable core and neutral spine. It targets the abdominal muscles, particularly the rectus abdominis, improving core stability and strength."
Military press,https://www.lyfta.app/video/GymvisualMP4/11651201.mp4,"Shoulders, triceps","Barbell, weight plates",Barbell,"An upper body exercise where a barbell or dumbbells are pressed overhead from shoulder level to a fully extended position. It primarily targets the shoulder muscles (deltoids) and triceps, enhancing upper body strength and shoulder stability."
Power snatch-,https://www.lyfta.app/video/GymvisualMP4/15301201.mp4,"Shoulders, lower back, legs","Olympic barbell, weight plates",Barbell,"A weightlifting exercise involving lifting a barbell from the floor to an overhead position in one explosive motion. It targets multiple muscle groups, including the legs, back, shoulders, and arms, improving power, speed, and coordination."
Sumo deadlift,https://www.lyfta.app/video/GymvisualMP4/01171201.mp4,"Glutes, inner thighs, lower back","Barbell, weight plates",Barbell,"A variation of the conventional deadlift where the feet are placed wider than shoulder-width apart and the hands grip the barbell inside the legs. It primarily targets the posterior chain muscles, including the glutes, hamstrings, and lower back, improving strength and power."
Hang Clean,https://www.lyfta.app/video/GymvisualMP4/15201201.mp4,"Shoulders, quads, traps","Olympic barbell, weight plates",Barbell,"A weightlifting exercise where the barbell is lifted from knee level to shoulder level in one explosive motion, starting from a hanging position. It targets the muscles of the posterior chain and upper body, improving power, speed, and coordination."
Dumbbell V-Sit Cross Jab,,"Core, shoulders",Dumbbells,Dumbbell,"A core and upper body exercise performed by sitting on the floor with legs raised, holding dumbbells, and performing alternating cross jabs while maintaining balance. It targets the abdominals, obliques, and shoulder muscles, improving core stability and upper body strength."
Standing palms-in shoulder press,https://www.lyfta.app/video/GymvisualMP4/04271201.mp4,"Shoulders, triceps",Dumbbells,Dumbbell,"An upper body exercise performed by pressing dumbbells overhead with palms facing inward while standing. It targets the shoulder muscles (deltoids), enhancing shoulder strength and stability."
Dumbell skullcrusher,https://www.lyfta.app/video/GymvisualMP4/41511201.mp4,Triceps,"Dumbbells, bench",E-Z Curl Bar,"An isolation exercise targeting the triceps muscles performed by lying on a bench with arms extended overhead, then bending the elbows to lower dumbbells towards the forehead, and extending the arms to the starting position. It improves triceps strength and definition."
Wide-grip barbell curl,https://app.fitnessai.com/exercises/01131201-Barbell-Standing-Wide-grip-Curl-Upper-Arms.mp4,Biceps,"Barbell, weight plates",Barbell,"An arm exercise performed by curling a barbell with a wide grip towards the shoulders while standing. It primarily targets the biceps brachii muscles, promoting upper arm strength and size."
Dumbbell spell caster,https://www.lyfta.app/video/GymvisualMP4/07771201.mp4,"Shoulders, obliques",Dumbbells,Dumbbell,"An arm and core exercise performed by holding a dumbbell in one hand while standing, then rotating the torso and reaching the dumbbell across the body towards the opposite foot, then returning to the starting position. It targets the obliques and improves core stability and arm strength."
Dumbbell floor press,https://www.lyfta.app/video/GymvisualMP4/33191201.mp4,"Chest, triceps","Dumbbells, floor mat",Dumbbell,"A chest exercise performed by lying on the floor or a bench while holding dumbbells and pressing them upward until the arms are fully extended, then lowering them back down. It targets the chest muscles (pectoralis major) and triceps, improving upper body strength and muscle mass."
Pullups,https://www.lyfta.app/video/GymvisualMP4/06521201.mp4,"Lats, upper back",Pull-up bar,Body Only,"An upper body exercise performed by pulling oneself up on a pull-up bar until the chin is above the bar, then lowering back down. It primarily targets the back muscles (latissimus dorsi) and biceps, enhancing strength and muscle mass."
Decline reverse crunch,https://www.lyfta.app/video/GymvisualMP4/30721201.mp4,Lower abs,Decline bench,Other,"A core exercise performed by lying on a decline bench with hips lower than the shoulders, then lifting the legs towards the chest by contracting the abdominal muscles and lowering them back down. It targets the lower abdominals and improves core strength and stability."
Dumbbell Bench Press,https://www.lyfta.app/video/GymvisualMP4/02891201.mp4,"Chest, triceps","Dumbbells, bench",Dumbbell,"A chest exercise performed by lying on a bench with dumbbells in hand and pressing them upward until the arms are fully extended, then lowering them back down. It targets the chest muscles (pectoralis major) and triceps, improving upper body strength and muscle mass."
